,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
1497691,1598491,16147291,1099,False,2,2,100,5.1e-05,0.955882,0.219346,97,ReLU(),199,0.987395,0.972369,0.955882,0.905068,0.980392,0.957105,0.970588,0.938679,True,0.021008666666666675,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1506236,1607036,16155836,1099,False,2,2,100,4.9e-05,0.882353,0.274003,90,ReLU(),199,0.983193,0.963168,0.882353,0.742652,0.960784,0.914222,0.970588,0.938679,False,0.06722666666666662,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1510666,1611466,16160266,1599,False,7,7,100,4.5e-05,0.897059,0.254409,63,ReLU(),199,0.957983,0.90763,0.897059,0.781736,0.944444,0.87834,0.941176,0.871212,False,0.040615999999999985,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1512025,1612825,16161625,1493,False,6,6,94,4.5e-05,0.802632,0.46523,86,ReLU(),193,0.802632,0.547864,0.802632,0.545312,0.802632,0.54718,0.763158,0.450836,False,0.0,diabetes,17,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1518419,1619219,16168019,1193,False,3,3,94,4.6e-05,0.796053,0.483104,58,ReLU(),193,0.804511,0.550152,0.796053,0.544881,0.802632,0.547608,0.763158,0.464775,False,0.005638666666666643,diabetes,18,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1523487,1624287,16173087,993,False,1,1,94,4.5e-05,0.802632,0.442702,81,ReLU(),193,0.806391,0.556652,0.802632,0.557696,0.807018,0.559466,0.763158,0.464775,False,0.002924000000000001,diabetes,2,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1529420,1630220,16179020,1493,False,6,6,94,4.9e-05,0.822368,0.482497,99,ReLU(),193,0.804511,0.550975,0.822368,0.595548,0.811404,0.567788,0.763158,0.473846,False,0.011904666666666675,diabetes,5,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1536167,1636967,16185767,1293,False,4,4,94,4.8e-05,0.789474,0.44937,82,ReLU(),193,0.804511,0.551979,0.789474,0.521111,0.804094,0.551705,0.776316,0.490925,False,0.010024666666666645,diabetes,0,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1544596,1645396,16194196,1193,False,3,3,94,4.7e-05,0.782895,0.493542,97,ReLU(),193,0.819549,0.58862,0.782895,0.495418,0.809942,0.563846,0.776316,0.484757,False,0.024435999999999975,diabetes,13,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1550950,1651750,16200550,1593,False,7,7,94,4.5e-05,0.710526,0.565459,35,ReLU(),193,0.81203,0.570088,0.710526,0.339993,0.788012,0.514513,0.763158,0.457055,False,0.06766933333333336,diabetes,14,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1553183,1653983,16202783,1493,False,6,6,94,4.7e-05,0.828947,0.416461,92,ReLU(),193,0.798872,0.537919,0.828947,0.609943,0.809942,0.564177,0.776316,0.490925,False,0.020049999999999974,diabetes,11,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1559502,1660302,16209102,1293,False,4,4,94,4.5e-05,0.776316,0.479264,67,ReLU(),193,0.800752,0.543174,0.776316,0.482328,0.798246,0.536656,0.789474,0.51382,False,0.016290666666666676,diabetes,4,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1563018,1663818,16212618,1193,False,3,3,94,4.3e-05,0.789474,0.475495,39,ReLU(),193,0.793233,0.525562,0.789474,0.51241,0.79386,0.526105,0.763158,0.450836,False,0.002924000000000001,diabetes,8,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1569079,1669879,16218679,1193,False,3,3,94,4.5e-05,0.802632,0.457428,97,ReLU(),193,0.81015,0.564947,0.802632,0.548788,0.809942,0.565336,0.776316,0.498664,True,0.0050120000000000164,diabetes,10,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1578482,1679282,16228082,1293,False,4,4,94,4.5e-05,0.763158,0.548814,87,ReLU(),193,0.81015,0.564947,0.763158,0.453745,0.799708,0.539888,0.75,0.422734,False,0.03132800000000002,diabetes,7,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1584543,1685343,16234143,1093,False,2,2,94,4.6e-05,0.769737,0.498744,91,ReLU(),193,0.819549,0.587202,0.769737,0.467861,0.80848,0.560919,0.763158,0.450836,False,0.03320799999999998,diabetes,12,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
1584828,1685628,16234428,993,False,1,1,94,4.7e-05,0.802632,0.460973,70,ReLU(),193,0.802632,0.546303,0.802632,0.545312,0.802632,0.546058,0.776316,0.484757,False,0.0,diabetes,3,exp0090_politica_1_oracle_1m1l,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
