,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
100578,100578,12431778,1297,False,4,4,98,5.9e-05,0.9,0.238594,94,ReLU(),197,0.99187,0.982373,0.9,0.782531,0.971519,0.938268,0.885714,0.75333,False,0.06124666666666667,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
104962,104962,12436162,2795,False,3,3,96,3.8e-05,0.74026,0.585501,88,SELU(),395,0.788104,0.519682,0.74026,0.434621,0.786127,0.540715,0.815789,0.584109,False,0.031896,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
107175,107175,12438375,2886,False,4,4,87,3.7e-05,0.797386,0.531446,90,SELU(),386,0.80705,0.562364,0.797386,0.563659,0.804913,0.581783,0.723684,0.417328,True,0.00644266666666667,diabetes,18,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
115214,115214,12446414,3068,False,6,6,69,3.7e-05,0.779221,0.533297,98,SELU(),368,0.810409,0.569906,0.779221,0.519488,0.794798,0.548834,0.763158,0.457055,False,0.020791999999999995,diabetes,2,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
120675,120675,12451875,3172,False,7,7,73,3.8e-05,0.771242,0.621778,82,SELU(),372,0.801484,0.548944,0.771242,0.512486,0.767341,0.507961,0.789474,0.564703,False,0.02276199999999995,diabetes,5,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
125902,125902,12457102,2991,False,5,5,92,3.6e-05,0.792208,0.478021,79,SELU(),391,0.814126,0.578329,0.792208,0.540007,0.787572,0.526776,0.763158,0.457055,False,0.017702666666666644,diabetes,0,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
129531,129531,12460731,2580,False,1,1,81,3.5e-05,0.785714,0.498661,95,SELU(),380,0.788104,0.519084,0.785714,0.517731,0.794798,0.540531,0.763158,0.464775,False,0.006055999999999988,diabetes,13,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
137886,137886,12469086,2570,False,1,1,71,3.7e-05,0.772727,0.557314,89,SELU(),370,0.806691,0.560924,0.772727,0.503093,0.781792,0.53417,0.671053,0.28998,False,0.02264266666666666,diabetes,14,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
145491,145491,12476691,2897,False,4,4,98,3.6e-05,0.714286,0.605083,97,SELU(),397,0.815985,0.586817,0.714286,0.340571,0.781792,0.50761,0.697368,0.298688,False,0.06779933333333332,diabetes,11,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
150606,150606,12481806,2682,False,2,2,83,3.6e-05,0.746753,0.527814,86,SELU(),382,0.814126,0.579823,0.746753,0.451308,0.790462,0.551708,0.736842,0.439002,False,0.04491533333333334,diabetes,4,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
