,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,1972219,2073019,16621819,2502,False,1,1,3,9.2e-05,0.95283,0.395089,97,SELU(),302,0.948787,0.712944,0.95283,0.764191,0.953878,0.740421,0.981132,0.857321,True,0.03416466666666662,climate-model-simulation-crashes(4),10,exp0090_politica_1_oracle_1m1l,,,0.9244307649645284,topsis_pareto_oracle
0,1979257,2080057,16628857,3104,False,7,7,5,6.5e-05,0.981132,0.288887,90,SELU(),304,0.97035,0.766864,0.981132,0.857321,0.972746,0.787518,0.981132,0.857321,True,0.06030466666666667,climate-model-simulation-crashes(4),7,exp0090_politica_1_oracle_1m1l,,,0.905972745137522,topsis_pareto_oracle
0,1986536,2087336,16636136,3803,False,6,6,4,0.00016,0.915094,0.311792,98,GELU(approximate=False),403,0.940701,0.533121,0.915094,-0.027883,0.93501,0.454353,0.981132,0.857321,True,0.37400266666666665,climate-model-simulation-crashes(4),12,exp0090_politica_1_oracle_1m1l,,,0.923359118109011,topsis_pareto_oracle
0,1993429,2094229,16643029,2902,False,5,5,3,8.2e-05,0.915094,0.397706,96,SELU(),302,0.956873,0.690962,0.915094,0.488322,0.947589,0.638877,0.981132,0.857321,True,0.13509333333333332,climate-model-simulation-crashes(4),3,exp0090_politica_1_oracle_1m1l,,,0.9231807886863355,topsis_pareto_oracle
0,1998269,2099069,16647869,601,False,6,6,2,0.000146,0.981132,0.325618,99,Identity(),1,0.954178,0.699322,0.981132,0.864796,0.966457,0.765945,0.981132,0.857321,True,0.11031600000000001,climate-model-simulation-crashes(4),15,exp0090_politica_1_oracle_1m1l,,,0.9272295891820347,topsis_pareto_oracle
0,2002284,2103084,16651884,2502,False,1,1,3,0.000107,0.962264,0.30117,91,SELU(),302,0.975741,0.818693,0.962264,0.729592,0.972746,0.797811,0.981132,0.885253,True,0.05940066666666666,climate-model-simulation-crashes(4),1,exp0090_politica_1_oracle_1m1l,,,0.9233140114868367,topsis_pareto_oracle
0,2009355,2110155,16658955,2400,False,0,0,1,0.000241,0.924528,0.398086,97,SELU(),300,0.948787,0.615172,0.924528,0.574224,0.9413,0.579365,0.981132,0.885253,True,0.02729866666666673,climate-model-simulation-crashes(4),16,exp0090_politica_1_oracle_1m1l,,,0.940017072989283,topsis_pareto_oracle
0,2011564,2112364,16661164,2202,False,6,6,3,0.000156,0.933962,0.31055,95,LeakyReLU(negative_slope=0.01),202,0.929919,0.371811,0.933962,0.341565,0.930818,0.357801,0.981132,0.857321,True,0.020163999999999998,climate-model-simulation-crashes(4),6,exp0090_politica_1_oracle_1m1l,,,0.9227245367985711,topsis_pareto_oracle
0,2017780,2118580,16667380,1617,False,0,0,18,3.7e-05,0.719298,0.598517,7,LeakyReLU(negative_slope=0.01),217,0.704261,0.044586,0.719298,0.065217,0.705653,0.032364,0.736842,0.213913,True,0.021902,ilpd,17,exp0090_politica_1_oracle_1m1l,,,0.7669731042600354,topsis_pareto_oracle
0,2023606,2124406,16673206,5228,False,4,4,29,3.8e-05,0.719298,0.614368,1,Tanh(),628,0.669173,0.185199,0.719298,0.318165,0.690058,0.234094,0.754386,0.391768,True,0.08864399999999999,ilpd,18,exp0090_politica_1_oracle_1m1l,,,0.6857376093518718,topsis_pareto_oracle
0,2030862,2131662,16680462,3306,False,1,1,7,5.3e-05,0.719298,0.625721,17,GELU(approximate=False),406,0.651629,0.17636,0.719298,0.304878,0.668616,0.200022,0.701754,0.303687,True,0.08567866666666667,ilpd,2,exp0090_politica_1_oracle_1m1l,,,0.826061129687224,topsis_pareto_oracle
0,2034812,2135612,16684412,5017,False,2,2,18,4.6e-05,0.736842,0.578533,12,Tanh(),617,0.709273,0.160474,0.736842,0.242087,0.7154,0.177986,0.789474,0.422006,True,0.05440866666666666,ilpd,5,exp0090_politica_1_oracle_1m1l,,,0.8631019490436593,topsis_pareto_oracle
0,2040490,2141290,16690090,2410,False,0,0,11,4.4e-05,0.736842,0.586288,9,SELU(),310,0.711779,0.272662,0.736842,0.311805,0.719298,0.284335,0.77193,0.424659,True,0.02609533333333332,ilpd,0,exp0090_politica_1_oracle_1m1l,,,0.8660421466499386,topsis_pareto_oracle
0,2045700,2146500,16695300,1220,False,4,4,21,3.9e-05,0.719298,0.596604,2,ReLU(),120,0.686717,0.251475,0.719298,0.304878,0.703704,0.272472,0.719298,0.33156,True,0.03560199999999999,ilpd,13,exp0090_politica_1_oracle_1m1l,,,0.745357688177794,topsis_pareto_oracle
0,2052400,2153200,16702000,3103,False,7,7,4,6.1e-05,0.763158,0.586373,4,SELU(),303,0.726817,0.16886,0.763158,0.324781,0.736842,0.21583,0.754386,0.294619,True,0.10394733333333332,ilpd,14,exp0090_politica_1_oracle_1m1l,,,0.805586230066769,topsis_pareto_oracle
0,2057669,2158469,16707269,4823,False,0,0,24,3.6e-05,0.745614,0.568384,4,Tanh(),623,0.714286,0.128976,0.745614,0.246805,0.725146,0.164544,0.807018,0.480001,True,0.07855266666666666,ilpd,11,exp0090_politica_1_oracle_1m1l,,,0.829659800792917,topsis_pareto_oracle
0,2062162,2162962,16711762,1031,False,2,2,32,3.6e-05,0.736842,0.598363,2,ReLU(),131,0.714286,0.198118,0.736842,0.231008,0.725146,0.211466,0.789474,0.422006,True,0.021926666666666667,ilpd,4,exp0090_politica_1_oracle_1m1l,,,0.7393211875899517,topsis_pareto_oracle
0,2071866,2172666,16721466,0,False,0,0,1,,0.719298,,1,Identity(),0,0.280702,0.0,0.719298,0.0,0.719298,0.0,0.719298,0.0,True,0.0,ilpd,8,exp0090_politica_1_oracle_1m1l,,,0.6646205947068284,topsis_pareto_oracle
0,2073843,2174643,16723443,4609,False,6,6,10,4.6e-05,0.719298,0.640433,8,Sigmoid(),509,0.699248,0.094699,0.719298,0.115033,0.711501,0.090005,0.754386,0.294619,True,0.01668533333333333,ilpd,10,exp0090_politica_1_oracle_1m1l,,,0.8093089398499153,topsis_pareto_oracle
0,2080651,2181451,16730251,5519,False,7,7,20,3.8e-05,0.719298,0.609028,3,Tanh(),619,0.651629,0.207734,0.719298,0.372749,0.664717,0.224763,0.701754,0.303687,True,0.11001,ilpd,7,exp0090_politica_1_oracle_1m1l,,,0.7409974220157802,topsis_pareto_oracle
0,2084132,2184932,16733732,1706,False,1,1,7,4.2e-05,0.719298,0.64321,2,LeakyReLU(negative_slope=0.01),206,0.711779,0.098174,0.719298,0.115033,0.711501,0.084655,0.754386,0.305257,True,0.020252000000000003,ilpd,12,exp0090_politica_1_oracle_1m1l,,,0.7807707842555687,topsis_pareto_oracle
0,2091499,2192299,16741099,704,False,7,7,5,5e-05,0.719298,0.589688,15,Identity(),4,0.689223,0.217778,0.719298,0.278476,0.699805,0.237646,0.736842,0.335994,True,0.04046533333333333,ilpd,3,exp0090_politica_1_oracle_1m1l,,,0.8250535885384122,topsis_pareto_oracle
0,2096040,2196840,16745640,2010,False,4,4,11,4.6e-05,0.736842,0.611848,15,LeakyReLU(negative_slope=0.01),210,0.721804,0.142586,0.736842,0.202458,0.729045,0.166425,0.754386,0.286922,True,0.039914666666666675,ilpd,15,exp0090_politica_1_oracle_1m1l,,,0.822303140100088,topsis_pareto_oracle
0,2105471,2206271,16755071,500,False,5,5,1,,0.719298,,1,Identity(),0,0.280702,0.0,0.719298,0.0,0.719298,0.0,0.719298,0.0,True,0.0,ilpd,1,exp0090_politica_1_oracle_1m1l,,,0.6792433369829425,topsis_pareto_oracle
0,2106715,2207515,16756315,3116,False,7,7,17,4.7e-05,0.736842,0.549762,10,SELU(),316,0.734336,0.228571,0.736842,0.231008,0.730994,0.215346,0.77193,0.358363,True,0.010441333333333322,ilpd,16,exp0090_politica_1_oracle_1m1l,,,0.8446474623033057,topsis_pareto_oracle
0,2112881,2213681,16762481,315,False,3,3,16,4.1e-05,0.72807,0.600379,4,Identity(),15,0.706767,0.052586,0.72807,0.165487,0.709552,0.072502,0.789474,0.439768,True,0.07526733333333334,ilpd,6,exp0090_politica_1_oracle_1m1l,,,0.838348107724868,topsis_pareto_oracle
0,2119948,2220748,16769548,1504,False,7,7,5,0.000174,0.875,0.422856,99,ReLU(),104,0.888095,0.796434,0.875,0.772107,0.888889,0.79793,0.916667,0.85042,True,0.01721533333333336,balance-scale,17,exp0090_politica_1_oracle_1m1l,,,0.9599928306919053,topsis_pareto_oracle
0,2123899,2224699,16773499,803,False,0,0,4,0.000255,0.925,0.347753,99,ReLU(),103,0.914286,0.846266,0.925,0.866169,0.916667,0.85063,0.933333,0.882407,True,0.01326866666666667,balance-scale,18,exp0090_politica_1_oracle_1m1l,,,0.974559640838135,topsis_pareto_oracle
0,2129505,2230305,16779105,3300,False,1,1,1,0.000582,0.925,0.71969,99,GELU(approximate=False),400,0.916667,0.85112,0.925,0.866179,0.916667,0.850558,0.933333,0.880029,True,0.010413999999999998,balance-scale,2,exp0090_politica_1_oracle_1m1l,,,0.9808787803712685,topsis_pareto_oracle
