,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
104972,104972,12436172,2499,False,0,0,100,3.7e-05,0.766234,0.564714,88,SELU(),399,0.814126,0.580233,0.766234,0.518545,0.789017,0.548044,0.763158,0.473846,False,0.03192800000000003,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
110175,110175,12441375,3099,False,6,6,100,3.8e-05,0.764706,0.561329,89,SELU(),399,0.801484,0.554784,0.764706,0.45498,0.789017,0.517745,0.776316,0.484757,False,0.02451866666666665,diabetes,18,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
113947,113947,12445147,2499,False,0,0,100,3.8e-05,0.772727,0.484377,75,SELU(),399,0.789963,0.530385,0.772727,0.491372,0.791907,0.52992,0.763158,0.446356,False,0.01278666666666665,diabetes,2,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
119109,119109,12450309,2599,False,1,1,100,3.9e-05,0.766234,0.529687,85,SELU(),399,0.784387,0.508797,0.766234,0.463224,0.777457,0.491459,0.75,0.422734,False,0.012101999999999983,diabetes,5,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
128085,128085,12459285,2599,False,1,1,100,3.8e-05,0.753247,0.508726,84,SELU(),399,0.814126,0.579457,0.753247,0.438938,0.789017,0.518422,0.736842,0.381119,False,0.04058600000000001,diabetes,0,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
129836,129836,12461036,2899,False,4,4,100,3.7e-05,0.785714,0.556543,54,SELU(),399,0.797398,0.545448,0.785714,0.510705,0.787572,0.519713,0.671053,0.199882,False,0.007789333333333352,diabetes,13,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
138448,138448,12469648,2899,False,4,4,100,3.6e-05,0.75974,0.539315,65,SELU(),399,0.801115,0.550551,0.75974,0.450236,0.784682,0.507235,0.710526,0.307929,False,0.027583333333333366,diabetes,14,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
144402,144402,12475602,2499,False,0,0,100,3.8e-05,0.753247,0.609064,71,SELU(),399,0.806691,0.574833,0.753247,0.431681,0.765896,0.462788,0.723684,0.33925,False,0.03562933333333337,diabetes,11,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
148753,148753,12479953,2799,False,3,3,100,3.6e-05,0.75974,0.52632,50,SELU(),399,0.791822,0.531659,0.75974,0.452645,0.773121,0.490602,0.736842,0.405108,False,0.021388000000000035,diabetes,4,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
153905,153905,12485105,2899,False,4,4,100,3.6e-05,0.764706,0.581297,98,SELU(),399,0.792208,0.531987,0.764706,0.461563,0.771676,0.480052,0.736842,0.3959,False,0.018334666666666683,diabetes,8,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
