,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
1511288,1612088,16160888,2373,False,7,7,74,5.5e-05,0.911765,0.210914,98,LeakyReLU(negative_slope=0.01),273,0.983193,0.963168,0.911765,0.812404,0.96732,0.928801,0.941176,0.871212,False,0.04761866666666662,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.659395931075038,Train
1516845,1617645,16166445,1995,False,3,3,96,4.5e-05,0.769737,0.45197,91,LeakyReLU(negative_slope=0.01),295,0.821429,0.592715,0.769737,0.463452,0.809942,0.564177,0.776316,0.480384,False,0.03446133333333331,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.5846220425475063,Train
1523167,1623967,16172767,1581,False,7,7,82,4.6e-05,0.75,0.501321,90,ReLU(),181,0.817669,0.582595,0.75,0.434941,0.805556,0.556335,0.75,0.430552,False,0.045112666666666655,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.6219590440369186,Train
1526631,1627431,16176231,2385,False,7,7,86,4.9e-05,0.776316,0.457392,90,LeakyReLU(negative_slope=0.01),285,0.817669,0.584553,0.776316,0.484757,0.80848,0.562612,0.736842,0.415385,False,0.027568666666666648,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.601313038091184,Train
1529161,1629961,16178761,1871,False,2,2,72,4.9e-05,0.802632,0.493016,90,LeakyReLU(negative_slope=0.01),271,0.81203,0.569139,0.802632,0.554276,0.809942,0.565336,0.763158,0.464775,False,0.006265333333333345,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.6544799256453888,Train
1539418,1640218,16189018,1791,False,1,1,92,4.8e-05,0.763158,0.490343,95,LeakyReLU(negative_slope=0.01),291,0.819549,0.586492,0.763158,0.460738,0.807018,0.557297,0.776316,0.490925,False,0.03759399999999998,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.5994550966903865,Train
1545311,1646111,16194911,2097,False,4,4,98,4.9e-05,0.776316,0.481873,97,LeakyReLU(negative_slope=0.01),297,0.830827,0.613619,0.776316,0.478007,0.818713,0.583944,0.75,0.422734,False,0.03634066666666665,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.5882592222276509,Train
1551198,1651998,16200798,2396,False,7,7,97,4.7e-05,0.684211,0.583206,89,LeakyReLU(negative_slope=0.01),296,0.838346,0.631784,0.684211,0.285774,0.805556,0.555827,0.763158,0.457055,False,0.10275666666666668,diabetes,14,exp0090_politica_1_oracle_1m1l,,,0.5772105216586207,Train
1551654,1652454,16201254,1194,False,3,3,95,4.8e-05,0.815789,0.431115,99,ReLU(),194,0.81015,0.565976,0.815789,0.576804,0.811404,0.567454,0.789474,0.51382,True,0.0037593333333333,diabetes,11,exp0090_politica_1_oracle_1m1l,,,0.5973332317845105,Train
1562188,1662988,16211788,3281,False,0,0,82,5.2e-05,0.756579,0.515144,94,GELU(approximate=False),481,0.823308,0.595665,0.756579,0.439957,0.80848,0.561302,0.776316,0.484757,False,0.044486000000000026,diabetes,4,exp0090_politica_1_oracle_1m1l,,,0.627662884918964,Train
