,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,1521848,1622648,16171448,2200,False,6,6,1,0.000323,0.802632,0.505585,99,LeakyReLU(negative_slope=0.01),200,0.768797,0.460553,0.802632,0.544436,0.776316,0.479382,0.789474,0.511593,True,0.022556666666666707,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.9541305579265194,topsis_pareto_oracle
0,1524218,1625018,16173818,1710,False,1,1,11,7.4e-05,0.789474,0.458894,92,LeakyReLU(negative_slope=0.01),210,0.776316,0.485534,0.789474,0.536811,0.780702,0.499887,0.815789,0.576804,True,0.008772000000000002,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.9178399405275892,topsis_pareto_oracle
0,1530180,1630980,16179780,2705,False,3,3,6,7.3e-05,0.822368,0.423046,96,SELU(),305,0.781955,0.495281,0.822368,0.593902,0.792398,0.520818,0.802632,0.544436,True,0.02694200000000002,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.9539035471192243,topsis_pareto_oracle
0,1534873,1635673,16184473,3503,False,3,3,4,0.000149,0.789474,0.437829,97,GELU(approximate=False),403,0.785714,0.509474,0.789474,0.515768,0.78655,0.510811,0.815789,0.579365,True,0.002506666666666657,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.9738247511985124,topsis_pareto_oracle
0,1544710,1645510,16194310,2501,False,1,1,2,0.000141,0.756579,0.489832,89,SELU(),301,0.795113,0.529059,0.756579,0.427538,0.78655,0.506822,0.802632,0.544436,True,0.025689333333333304,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.9084593949513756,topsis_pareto_oracle
0,1549608,1650408,16199208,2903,False,5,5,4,8.5e-05,0.756579,0.470947,99,SELU(),303,0.793233,0.523788,0.756579,0.436616,0.785088,0.504432,0.789474,0.51382,True,0.024435999999999975,diabetes,14,exp0090_politica_1_oracle_1m1l,,,0.9506881616980144,topsis_pareto_oracle
0,1551572,1652372,16201172,1103,False,3,3,4,0.000125,0.782895,0.468056,96,ReLU(),103,0.778196,0.488118,0.782895,0.501535,0.780702,0.494818,0.815789,0.576829,True,0.0031326666666666725,diabetes,11,exp0090_politica_1_oracle_1m1l,,,0.9707493374242587,topsis_pareto_oracle
0,1560455,1661255,16210055,5001,False,2,2,2,0.000264,0.756579,0.55543,99,Tanh(),601,0.789474,0.51382,0.756579,0.443663,0.780702,0.494284,0.802632,0.544436,True,0.021930000000000005,diabetes,4,exp0090_politica_1_oracle_1m1l,,,0.9685869417103465,topsis_pareto_oracle
0,1564504,1665304,16214104,5001,False,2,2,2,0.000217,0.796053,0.453491,92,Tanh(),601,0.781955,0.495824,0.796053,0.528921,0.785088,0.50312,0.802632,0.544436,True,0.009398666666666703,diabetes,8,exp0090_politica_1_oracle_1m1l,,,0.9486501865447152,topsis_pareto_oracle
0,1569376,1670176,16218976,503,False,5,5,4,9.9e-05,0.769737,0.477393,96,Identity(),3,0.780075,0.491038,0.769737,0.470746,0.777778,0.486314,0.802632,0.544436,True,0.006891999999999972,diabetes,10,exp0090_politica_1_oracle_1m1l,,,0.9705160010261227,topsis_pareto_oracle
0,1575457,1676257,16225057,4902,False,1,1,3,0.000113,0.769737,0.512541,93,Tanh(),602,0.785714,0.505953,0.769737,0.481756,0.780702,0.495955,0.815789,0.576804,True,0.010651333333333346,diabetes,7,exp0090_politica_1_oracle_1m1l,,,0.9523762662621796,topsis_pareto_oracle
0,1580313,1681113,16229913,905,False,1,1,6,9.4e-05,0.776316,0.49428,96,ReLU(),105,0.780075,0.490494,0.776316,0.484757,0.782164,0.496109,0.802632,0.544436,True,0.0038986666666666427,diabetes,12,exp0090_politica_1_oracle_1m1l,,,0.9539035471192243,topsis_pareto_oracle
0,1589093,1689893,16238693,2103,False,5,5,4,0.000124,0.815789,0.449523,95,LeakyReLU(negative_slope=0.01),203,0.770677,0.476458,0.815789,0.576461,0.782164,0.500902,0.802632,0.544436,True,0.030074666666666694,diabetes,3,exp0090_politica_1_oracle_1m1l,,,0.9232066312177462,topsis_pareto_oracle
0,1595635,1696435,16245235,3905,False,7,7,6,8.9e-05,0.822368,0.453349,94,GELU(approximate=False),405,0.759399,0.449367,0.822368,0.597738,0.773392,0.482666,0.802632,0.546779,True,0.04197933333333329,diabetes,15,exp0090_politica_1_oracle_1m1l,,,0.9088783223644683,topsis_pareto_oracle
0,1597751,1698551,16247351,5101,False,3,3,2,0.000168,0.763158,0.503497,98,Tanh(),601,0.776316,0.486347,0.763158,0.460738,0.773392,0.480487,0.815789,0.576804,True,0.008772000000000002,diabetes,1,exp0090_politica_1_oracle_1m1l,,,0.9917651167255216,topsis_pareto_oracle
0,1602214,1703014,16251814,5408,False,6,6,9,6.9e-05,0.789474,0.484987,96,Tanh(),608,0.785714,0.506579,0.789474,0.512022,0.78655,0.506435,0.828947,0.608487,True,0.002506666666666657,diabetes,16,exp0090_politica_1_oracle_1m1l,,,0.9508301417851895,topsis_pareto_oracle
0,1610132,1710932,16259732,3801,False,6,6,2,0.000207,0.796053,0.483704,96,GELU(approximate=False),401,0.770677,0.472728,0.796053,0.530353,0.777778,0.489096,0.802632,0.544436,True,0.016917333333333378,diabetes,6,exp0090_politica_1_oracle_1m1l,,,0.9270232488480517,topsis_pareto_oracle
0,1616571,1717371,16266171,4203,False,2,2,4,0.000211,0.867647,0.410139,99,Sigmoid(),503,0.842437,0.679837,0.867647,0.733144,0.848039,0.691563,0.897059,0.792253,True,0.016806666666666636,Australian,17,exp0090_politica_1_oracle_1m1l,,,0.9469359611528713,topsis_pareto_oracle
0,1621694,1722494,16271294,2800,False,4,4,1,0.000303,0.867647,0.370896,97,SELU(),300,0.838235,0.67102,0.867647,0.731002,0.844771,0.684364,0.911765,0.821271,True,0.019607999999999997,Australian,18,exp0090_politica_1_oracle_1m1l,,,0.9790624396611346,topsis_pareto_oracle
0,1626158,1726958,16275758,1101,False,3,3,2,0.000183,0.860294,0.434757,98,ReLU(),101,0.84874,0.693565,0.860294,0.718836,0.852941,0.702671,0.897059,0.796731,True,0.0077026666666666355,Australian,2,exp0090_politica_1_oracle_1m1l,,,0.964381462991601,topsis_pareto_oracle
0,1630930,1731730,16280530,4900,False,1,1,1,0.000274,0.845588,0.420388,95,Tanh(),600,0.852941,0.701337,0.845588,0.686368,0.851307,0.697671,0.897059,0.792253,True,0.004901999999999962,Australian,5,exp0090_politica_1_oracle_1m1l,,,0.9531144438629954,topsis_pareto_oracle
0,1638568,1739368,16288168,1300,False,5,5,1,0.000327,0.830882,0.461521,96,ReLU(),100,0.85084,0.69664,0.830882,0.657691,0.848039,0.691157,0.911765,0.824563,True,0.013305333333333355,Australian,0,exp0090_politica_1_oracle_1m1l,,,0.9718842661018058,topsis_pareto_oracle
0,1645738,1746538,16295338,4602,False,6,6,3,0.000234,0.889706,0.414545,97,Sigmoid(),502,0.842437,0.680074,0.889706,0.777891,0.852941,0.701784,0.897059,0.796731,True,0.03151266666666667,Australian,13,exp0090_politica_1_oracle_1m1l,,,0.9615160609107721,topsis_pareto_oracle
0,1648444,1749244,16298044,3600,False,4,4,1,0.000344,0.852941,0.443576,99,GELU(approximate=False),400,0.865546,0.726832,0.852941,0.701455,0.862745,0.721182,0.911765,0.831209,True,0.008403333333333393,Australian,14,exp0090_politica_1_oracle_1m1l,,,1.0,topsis_pareto_oracle
0,1653823,1754623,16303423,1900,False,3,3,1,0.000259,0.845588,0.456877,98,LeakyReLU(negative_slope=0.01),200,0.857143,0.709462,0.845588,0.686014,0.854575,0.704234,0.897059,0.792253,True,0.007703333333333322,Australian,11,exp0090_politica_1_oracle_1m1l,,,0.9649560022996968,topsis_pareto_oracle
0,1658156,1758956,16307756,5002,False,2,2,3,0.000157,0.875,0.340489,99,Tanh(),602,0.878151,0.752662,0.875,0.747018,0.877451,0.751369,0.897059,0.790847,True,0.0021006666666666765,Australian,4,exp0090_politica_1_oracle_1m1l,,,0.9634912082647594,topsis_pareto_oracle
0,1668189,1768989,16317789,1801,False,2,2,2,0.000206,0.882353,0.332049,98,LeakyReLU(negative_slope=0.01),201,0.84874,0.692404,0.882353,0.760904,0.856209,0.707632,0.882353,0.761092,True,0.02240866666666667,Australian,8,exp0090_politica_1_oracle_1m1l,,,0.9477495100290857,topsis_pareto_oracle
0,1671291,1772091,16320891,4101,False,1,1,2,0.000269,0.867647,0.472894,98,Sigmoid(),501,0.844538,0.685258,0.867647,0.731721,0.849673,0.695581,0.897059,0.796731,True,0.015405999999999956,Australian,10,exp0090_politica_1_oracle_1m1l,,,0.964381462991601,topsis_pareto_oracle
0,1675355,1776155,16324955,2400,False,0,0,1,0.000341,0.867647,0.32408,99,SELU(),300,0.871849,0.739546,0.867647,0.730961,0.870915,0.737589,0.897059,0.790847,True,0.002801333333333359,Australian,7,exp0090_politica_1_oracle_1m1l,,,0.9655329453573371,topsis_pareto_oracle
0,1685197,1785997,16334797,3501,False,3,3,2,0.000219,0.830882,0.424924,99,GELU(approximate=False),401,0.867647,0.731226,0.830882,0.657658,0.859477,0.714804,0.897059,0.792253,True,0.02450999999999996,Australian,12,exp0090_politica_1_oracle_1m1l,,,0.9542308947989705,topsis_pareto_oracle
0,1686190,1786990,16335790,4103,False,1,1,4,0.000207,0.845588,0.430593,98,Sigmoid(),503,0.842437,0.681112,0.845588,0.688247,0.843137,0.682687,0.911765,0.831209,True,0.0021006666666666765,Australian,3,exp0090_politica_1_oracle_1m1l,,,0.9816509041583747,topsis_pareto_oracle
0,1695525,1796325,16345125,4405,False,4,4,6,0.000174,0.830882,0.408206,99,Sigmoid(),505,0.857143,0.710564,0.830882,0.65956,0.851307,0.699119,0.911765,0.831209,True,0.01750733333333332,Australian,15,exp0090_politica_1_oracle_1m1l,,,0.9556231875515685,topsis_pareto_oracle
0,1701727,1802527,16351327,1900,False,3,3,1,0.000265,0.882353,0.437478,97,LeakyReLU(negative_slope=0.01),200,0.846639,0.688738,0.882353,0.761987,0.854575,0.705034,0.911765,0.821271,True,0.02380933333333335,Australian,1,exp0090_politica_1_oracle_1m1l,,,0.9790624396611346,topsis_pareto_oracle
0,1705265,1806065,16354865,600,False,6,6,1,0.000266,0.838235,0.382457,98,Identity(),0,0.855042,0.70726,0.838235,0.670823,0.851307,0.698812,0.926471,0.858157,True,0.011204666666666677,Australian,16,exp0090_politica_1_oracle_1m1l,,,0.9821333611748477,topsis_pareto_oracle
0,1709260,1810060,16358860,5402,False,6,6,3,0.000145,0.867647,0.354263,97,Tanh(),602,0.861345,0.718221,0.867647,0.730961,0.862745,0.720972,0.897059,0.792253,True,0.004201333333333279,Australian,6,exp0090_politica_1_oracle_1m1l,,,0.9605442251518689,topsis_pareto_oracle
0,1718125,1818925,16367725,3807,False,6,6,8,0.00036,0.915205,0.272197,97,GELU(approximate=False),407,0.878028,0.712963,0.915205,0.803399,0.88694,0.734982,0.912281,0.796522,True,0.024784666666666677,car(3),17,exp0090_politica_1_oracle_1m1l,,,0.9354229100259915,topsis_pareto_oracle
0,1720824,1821624,16370424,3905,False,7,7,6,0.000441,0.880117,0.317957,97,GELU(approximate=False),405,0.886383,0.733315,0.880117,0.718396,0.88629,0.733092,0.900585,0.768248,True,0.004177333333333329,car(3),18,exp0090_politica_1_oracle_1m1l,,,0.9389710344564095,topsis_pareto_oracle
0,1729259,1830059,16378859,3903,False,7,7,4,0.000521,0.865497,0.372626,96,GELU(approximate=False),403,0.842105,0.621123,0.865497,0.679944,0.847953,0.636039,0.888889,0.737666,True,0.015594666666666646,car(3),2,exp0090_politica_1_oracle_1m1l,,,0.9329757566340562,topsis_pareto_oracle
0,1734090,1834890,16383690,3805,False,6,6,6,0.000409,0.845029,0.359682,97,GELU(approximate=False),405,0.859649,0.667233,0.845029,0.630516,0.8564,0.659066,0.883041,0.723761,True,0.009746666666666645,car(3),5,exp0090_politica_1_oracle_1m1l,,,0.9322963400900458,topsis_pareto_oracle
0,1738179,1838979,16387779,3805,False,6,6,6,0.000101,0.807018,0.823949,17,GELU(approximate=False),405,0.800334,0.522919,0.807018,0.533023,0.803119,0.524055,0.836257,0.604791,True,0.0044560000000000155,car(3),0,exp0090_politica_1_oracle_1m1l,,,0.9438135968301309,topsis_pareto_oracle
0,1743834,1844634,16393434,3908,False,7,7,9,0.000323,0.885965,0.275612,98,GELU(approximate=False),408,0.877193,0.714626,0.885965,0.73416,0.879792,0.72023,0.918129,0.810197,True,0.005848000000000002,car(3),13,exp0090_politica_1_oracle_1m1l,,,0.9356871441787828,topsis_pareto_oracle
0,1750431,1851231,16400031,3913,False,7,7,14,0.000191,0.874269,0.352219,50,GELU(approximate=False),413,0.864662,0.678314,0.874269,0.700037,0.868096,0.68619,0.883041,0.722482,True,0.006404666666666614,car(3),14,exp0090_politica_1_oracle_1m1l,,,0.8617774815845889,topsis_pareto_oracle
0,1757951,1858751,16407551,3609,False,4,4,10,0.000164,0.847953,0.451698,44,GELU(approximate=False),409,0.823726,0.568994,0.847953,0.636526,0.82911,0.584196,0.871345,0.692409,True,0.016151333333333334,car(3),11,exp0090_politica_1_oracle_1m1l,,,0.9165698132414338,topsis_pareto_oracle
0,1762756,1863556,16412356,3507,False,3,3,8,0.000406,0.900585,0.284929,99,GELU(approximate=False),407,0.879699,0.718535,0.900585,0.770811,0.88629,0.73512,0.918129,0.810244,True,0.013923999999999973,car(3),4,exp0090_politica_1_oracle_1m1l,,,0.940130534153026,topsis_pareto_oracle
0,1766277,1867077,16415877,1006,False,2,2,7,0.000362,0.877193,0.313896,95,ReLU(),106,0.867168,0.689038,0.877193,0.714942,0.870695,0.697997,0.900585,0.767783,True,0.006683333333333301,car(3),8,exp0090_politica_1_oracle_1m1l,,,0.9371929476390475,topsis_pareto_oracle
0,1773517,1874317,16423117,3907,False,7,7,8,0.000366,0.891813,0.288414,98,GELU(approximate=False),407,0.873016,0.705276,0.891813,0.755849,0.879792,0.723167,0.900585,0.773971,True,0.012531333333333302,car(3),10,exp0090_politica_1_oracle_1m1l,,,0.9333036675929646,topsis_pareto_oracle
0,1779048,1879848,16428648,3707,False,5,5,8,0.000345,0.888889,0.292142,99,GELU(approximate=False),407,0.87218,0.699346,0.888889,0.739856,0.876543,0.710121,0.906433,0.781436,True,0.01113933333333339,car(3),7,exp0090_politica_1_oracle_1m1l,,,0.9396217028725864,topsis_pareto_oracle
0,1783457,1884257,16433057,3807,False,6,6,8,0.00039,0.874269,0.292494,97,GELU(approximate=False),407,0.887218,0.737101,0.874269,0.704504,0.88434,0.729721,0.900585,0.769317,True,0.008632666666666658,car(3),12,exp0090_politica_1_oracle_1m1l,,,0.9317374906015361,topsis_pareto_oracle
0,1787831,1888631,16437431,3707,False,5,5,8,0.000328,0.856725,0.345259,88,GELU(approximate=False),407,0.862155,0.675809,0.856725,0.663062,0.862898,0.678069,0.900585,0.768897,True,0.004115333333333397,car(3),3,exp0090_politica_1_oracle_1m1l,,,0.9321321269788693,topsis_pareto_oracle
0,1797177,1897977,16446777,3605,False,4,4,6,0.00046,0.868421,0.297978,99,GELU(approximate=False),405,0.889724,0.744167,0.868421,0.6959,0.88629,0.736376,0.894737,0.756636,True,0.014201999999999973,car(3),15,exp0090_politica_1_oracle_1m1l,,,0.9362999109124698,topsis_pareto_oracle
0,1799220,1900020,16448820,3704,False,5,5,5,0.000475,0.856725,0.330891,98,GELU(approximate=False),404,0.865497,0.681625,0.856725,0.659052,0.864198,0.67831,0.906433,0.781189,True,0.005848000000000002,car(3),1,exp0090_politica_1_oracle_1m1l,,,0.9454195481480754,topsis_pareto_oracle
0,1803429,1904229,16453029,1905,False,3,3,6,0.000405,0.859649,0.363319,99,LeakyReLU(negative_slope=0.01),205,0.857978,0.664559,0.859649,0.669675,0.85835,0.666111,0.894737,0.75586,True,0.0011139999999999854,car(3),16,exp0090_politica_1_oracle_1m1l,,,0.9355255539323183,topsis_pareto_oracle
0,1813695,1914495,16463295,3706,False,5,5,7,0.000455,0.935673,0.256351,99,GELU(approximate=False),406,0.903926,0.778547,0.935673,0.853396,0.910981,0.79531,0.935673,0.853247,True,0.021164666666666648,car(3),6,exp0090_politica_1_oracle_1m1l,,,0.9534553439414652,topsis_pareto_oracle
0,1818087,1918887,16467687,4900,False,1,1,1,0.000356,0.76,0.524597,96,Tanh(),600,0.792857,0.482008,0.76,0.403162,0.785556,0.464231,0.76,0.381881,True,0.021904666666666683,credit-g,17,exp0090_politica_1_oracle_1m1l,,,0.9704293790839928,topsis_pareto_oracle
0,1821682,1922482,16471282,5203,False,4,4,4,0.000129,0.775,0.476933,98,Tanh(),603,0.784286,0.455154,0.775,0.431124,0.783333,0.453082,0.76,0.374879,True,0.006190666666666678,credit-g,18,exp0090_politica_1_oracle_1m1l,,,0.9603769912517891,topsis_pareto_oracle
0,1828085,1928885,16477685,5400,False,6,6,1,0.000323,0.75,0.503871,97,Tanh(),600,0.767143,0.408083,0.75,0.358957,0.763333,0.398152,0.77,0.406063,True,0.011428666666666679,credit-g,2,exp0090_politica_1_oracle_1m1l,,,0.9832975763276405,topsis_pareto_oracle
0,1831905,1932705,16481505,5300,False,5,5,1,0.000313,0.78,0.513336,98,Tanh(),600,0.771429,0.432578,0.78,0.449636,0.773333,0.436287,0.77,0.412532,True,0.005713999999999997,credit-g,5,exp0090_politica_1_oracle_1m1l,,,0.9627905317602563,topsis_pareto_oracle
0,1838793,1939593,16488393,5501,False,7,7,2,0.000171,0.765,0.514294,86,Tanh(),601,0.78,0.455305,0.765,0.385076,0.776667,0.43897,0.77,0.406063,True,0.010000000000000009,credit-g,0,exp0090_politica_1_oracle_1m1l,,,0.9060709671040155,topsis_pareto_oracle
0,1845241,1946041,16494841,3404,False,2,2,5,0.00011,0.77,0.488861,97,GELU(approximate=False),404,0.791429,0.473419,0.77,0.420016,0.786667,0.461432,0.76,0.369048,True,0.014286000000000021,credit-g,13,exp0090_politica_1_oracle_1m1l,,,0.9583076474948036,topsis_pareto_oracle
0,1851214,1952014,16500814,4900,False,1,1,1,0.000342,0.795,0.471011,99,Tanh(),600,0.775714,0.431712,0.795,0.48636,0.777778,0.438975,0.77,0.406063,True,0.01285733333333335,credit-g,14,exp0090_politica_1_oracle_1m1l,,,0.9078243978979572,topsis_pareto_oracle
0,1858200,1959000,16507800,1702,False,1,1,3,0.000143,0.82,0.457403,96,LeakyReLU(negative_slope=0.01),202,0.781429,0.440715,0.82,0.546471,0.79,0.463962,0.76,0.374879,True,0.025713999999999942,credit-g,11,exp0090_politica_1_oracle_1m1l,,,0.9596316406144785,topsis_pareto_oracle
0,1859889,1960689,16509489,2700,False,3,3,1,0.000415,0.765,0.498634,98,SELU(),300,0.77,0.421158,0.765,0.404995,0.768889,0.417582,0.76,0.374879,True,0.003333333333333336,credit-g,4,exp0090_politica_1_oracle_1m1l,,,0.9688533784271984,topsis_pareto_oracle
0,1865439,1966239,16515039,1714,False,1,1,15,8.3e-05,0.8,0.471516,98,LeakyReLU(negative_slope=0.01),214,0.804286,0.516634,0.8,0.515171,0.803333,0.516128,0.77,0.412532,True,0.0028573333333332673,credit-g,8,exp0090_politica_1_oracle_1m1l,,,0.8861021053930692,topsis_pareto_oracle
0,1874517,1975317,16524117,3704,False,5,5,5,0.000134,0.76,0.522146,97,GELU(approximate=False),404,0.794286,0.486132,0.76,0.385744,0.787778,0.466841,0.77,0.400845,True,0.022857333333333358,credit-g,10,exp0090_politica_1_oracle_1m1l,,,0.9648987464529583,topsis_pareto_oracle
0,1878790,1979590,16528390,804,False,0,0,5,0.000118,0.805,0.47531,98,ReLU(),104,0.785714,0.461239,0.805,0.518182,0.79,0.473309,0.77,0.412532,True,0.01285733333333335,credit-g,7,exp0090_politica_1_oracle_1m1l,,,0.966444423609128,topsis_pareto_oracle
0,1882032,1982832,16531632,602,False,6,6,3,0.000119,0.78,0.52608,97,Identity(),2,0.781429,0.454917,0.78,0.457694,0.782222,0.45785,0.76,0.381881,True,0.0014813333333332974,credit-g,12,exp0090_politica_1_oracle_1m1l,,,0.9425031223311218,topsis_pareto_oracle
0,1890393,1991193,16539993,4902,False,1,1,3,0.000131,0.765,0.493976,99,Tanh(),602,0.787143,0.470482,0.765,0.393805,0.783333,0.456935,0.76,0.374879,True,0.014762000000000016,credit-g,3,exp0090_politica_1_oracle_1m1l,,,0.9433025248474453,topsis_pareto_oracle
0,1893120,1993920,16542720,1203,False,4,4,4,0.000153,0.79,0.488351,97,ReLU(),103,0.787143,0.466386,0.79,0.47187,0.787778,0.467586,0.78,0.436436,True,0.0019046666666666656,credit-g,15,exp0090_politica_1_oracle_1m1l,,,0.9631457800009471,topsis_pareto_oracle
