,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
271279,271279,12602479,2132,False,5,5,33,4.2e-05,0.891304,0.385664,12,LeakyReLU(negative_slope=0.01),232,0.867495,0.733627,0.891304,0.780105,0.872786,0.743889,0.869565,0.73595,False,0.015872666666666646,Australian,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5544280344136936,oracle
277473,277473,12608673,3313,False,1,1,14,5e-05,0.898551,0.412355,18,GELU(approximate=False),413,0.861284,0.718535,0.898551,0.793979,0.871176,0.738625,0.942029,0.882852,False,0.024844666666666626,Australian,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6112952104191721,oracle
280586,280586,12611786,1810,False,2,2,11,4.6e-05,0.855072,0.51707,12,LeakyReLU(negative_slope=0.01),210,0.850932,0.697617,0.855072,0.707496,0.855072,0.707293,0.927536,0.854363,False,0.0027600000000000216,Australian,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5927021445624333,oracle
290942,290942,12622142,210,False,2,2,11,5e-05,0.92029,0.427917,19,Identity(),10,0.850932,0.69928,0.92029,0.842008,0.867955,0.734324,0.927536,0.864758,False,0.046238666666666685,Australian,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6182725751079409,oracle
293440,293440,12624640,1827,False,2,2,28,3.9e-05,0.869565,0.508346,8,LeakyReLU(negative_slope=0.01),227,0.853002,0.703258,0.869565,0.73679,0.855072,0.706749,0.942029,0.883687,False,0.011041999999999996,Australian,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5512582855328079,oracle
298179,298179,12629379,1521,False,7,7,22,4.2e-05,0.862319,0.465592,12,ReLU(),121,0.853002,0.702183,0.862319,0.723701,0.858293,0.712352,0.942029,0.882852,False,0.006211333333333273,Australian,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5707931123228777,oracle
304239,304239,12635439,1273,False,4,4,74,0.00013,0.947977,0.18061,92,ReLU(),173,0.934711,0.858143,0.947977,0.888894,0.941517,0.873549,0.965116,0.92382,False,0.008844,car(3),17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6434262697729376,oracle
308209,308209,12639409,989,False,1,1,90,0.000119,0.944928,0.162705,91,ReLU(),189,0.944674,0.880925,0.944928,0.878337,0.947301,0.885634,0.953488,0.897908,False,0.0017513333333332899,car(3),18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5968459142704932,oracle
314800,314800,12646000,1495,False,6,6,96,0.000119,0.956647,0.15478,99,ReLU(),195,0.955372,0.902883,0.956647,0.905975,0.960797,0.914626,0.947674,0.889034,False,0.0036166666666666756,car(3),2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5936332231099553,oracle
323339,323339,12654539,1265,False,4,4,66,0.000136,0.924855,0.20546,96,ReLU(),165,0.946281,0.882408,0.924855,0.833289,0.94473,0.878167,0.965116,0.924344,False,0.014284000000000038,car(3),5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6783798747388436,oracle
325889,325889,12657089,1156,False,3,3,57,0.000142,0.933526,0.191313,95,ReLU(),156,0.932231,0.852637,0.933526,0.854939,0.937661,0.865161,0.953488,0.89925,False,0.0036199999999999566,car(3),0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7081164688893097,oracle
332314,332314,12663514,2394,False,7,7,95,0.000112,0.947826,0.158616,97,LeakyReLU(negative_slope=0.01),294,0.946325,0.883954,0.947826,0.883705,0.953727,0.898673,0.94186,0.872724,False,0.00493466666666668,car(3),13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5932951173616371,oracle
336166,336166,12667366,1594,False,7,7,95,0.000121,0.956522,0.151056,97,ReLU(),194,0.956235,0.904985,0.956522,0.905586,0.957584,0.907853,0.97093,0.936108,False,0.0008993333333333631,car(3),14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5948611874517046,oracle
343043,343043,12674243,1085,False,2,2,86,0.000124,0.947977,0.179152,97,ReLU(),185,0.953719,0.899784,0.947977,0.88684,0.952442,0.896951,0.918605,0.816646,False,0.0038280000000000167,car(3),11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6165596503760508,oracle
351929,351929,12683129,975,False,1,1,76,0.000138,0.927746,0.188165,99,ReLU(),175,0.95124,0.894027,0.927746,0.844407,0.944087,0.879112,0.959302,0.913803,False,0.015662666666666675,car(3),4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6473087819665099,oracle
357413,357413,12688613,977,False,1,1,78,0.000132,0.924638,0.222146,99,ReLU(),177,0.953757,0.899319,0.924638,0.839639,0.949229,0.890163,0.965116,0.92251,False,0.019412666666666672,car(3),8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6423043018775552,oracle
358566,358566,12689766,1998,False,3,3,99,0.00012,0.956647,0.145136,97,LeakyReLU(negative_slope=0.01),298,0.956198,0.904276,0.956647,0.906911,0.957584,0.90772,0.97093,0.937563,False,0.0009239999999999989,car(3),10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5819213966120678,oracle
364793,364793,12695993,2379,False,7,7,80,0.000119,0.947826,0.17986,88,LeakyReLU(negative_slope=0.01),279,0.946325,0.884071,0.947826,0.884578,0.942802,0.87583,0.97093,0.936369,False,0.0033493333333332784,car(3),7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6167801365009827,oracle
373005,373005,12704205,1269,False,4,4,70,0.000133,0.962428,0.156979,99,ReLU(),169,0.939669,0.868114,0.962428,0.918763,0.949871,0.890948,0.976744,0.949126,True,0.015172666666666649,car(3),12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6715017360867179,oracle
377046,377046,12708246,1276,False,4,4,77,0.000126,0.930636,0.174733,88,ReLU(),176,0.942975,0.876232,0.930636,0.851104,0.941517,0.873504,0.965116,0.922158,False,0.008225999999999992,car(3),3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6279851115283069,oracle
384203,384203,12715403,2296,False,6,6,97,0.000114,0.942197,0.186913,90,LeakyReLU(negative_slope=0.01),296,0.954545,0.900937,0.942197,0.873783,0.95437,0.900544,0.930233,0.847014,False,0.008232000000000017,car(3),15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5764952415063291,oracle
387114,387114,12718314,1747,False,1,1,48,0.000153,0.933526,0.228831,95,LeakyReLU(negative_slope=0.01),247,0.935537,0.859135,0.933526,0.852742,0.937018,0.862035,0.953488,0.899029,False,0.0023280000000000336,car(3),1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7451667052779116,oracle
393696,393696,12724896,3442,False,2,2,43,0.000165,0.919075,0.229217,96,GELU(approximate=False),442,0.91157,0.803061,0.919075,0.819802,0.913882,0.806999,0.930233,0.844837,False,0.005003333333333322,car(3),16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7508540962699448,oracle
400685,400685,12731885,2097,False,4,4,98,0.000113,0.939306,0.179781,97,LeakyReLU(negative_slope=0.01),297,0.957851,0.908824,0.939306,0.868064,0.955656,0.903878,0.947674,0.88536,False,0.012363333333333356,car(3),6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5848072514306166,oracle
406168,406168,12737368,3173,False,7,7,74,2.9e-05,0.775,0.516193,78,SELU(),373,0.714286,0.290651,0.775,0.488888,0.766667,0.456572,0.84,0.626853,False,0.04047600000000003,credit-g,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6155962093054229,oracle
410439,410439,12741639,3285,False,0,0,86,3e-05,0.76,0.520956,67,GELU(approximate=False),485,0.754286,0.389464,0.76,0.366679,0.775556,0.41431,0.77,0.404133,False,0.014180000000000007,credit-g,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5617697020750754,oracle
414959,414959,12746159,1120,False,3,3,21,2.8e-05,0.745,0.514703,94,ReLU(),120,0.742857,0.320271,0.745,0.352738,0.741111,0.365229,0.83,0.579545,False,0.0025926666666666875,credit-g,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8663840429772248,oracle
424269,424269,12755469,2722,False,3,3,23,4e-05,0.745,0.508339,95,SELU(),322,0.701429,0.238414,0.745,0.362777,0.762222,0.39042,0.83,0.575125,False,0.04052866666666666,credit-g,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8689815869546273,oracle
429062,429062,12760262,3515,False,3,3,16,3.7e-05,0.785,0.465854,78,GELU(approximate=False),415,0.734286,0.291237,0.785,0.448034,0.746667,0.315122,0.82,0.553426,False,0.03380933333333336,credit-g,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8380333568712212,oracle
433512,433512,12764712,3575,False,3,3,76,2.3e-05,0.74,0.553874,62,GELU(approximate=False),475,0.715714,0.260223,0.74,0.327327,0.754444,0.38808,0.85,0.634069,False,0.025820000000000027,credit-g,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5733132594069366,oracle
438216,438216,12769416,2910,False,5,5,11,4.3e-05,0.74,0.533056,78,SELU(),310,0.727143,0.286867,0.74,0.352767,0.747778,0.38524,0.87,0.687699,False,0.013756666666666714,credit-g,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8432412426033755,oracle
446090,446090,12777290,129,False,1,1,30,4.8e-05,0.755,0.518632,90,Identity(),29,0.7,0.241413,0.755,0.408481,0.771111,0.42785,0.77,0.412532,False,0.04740733333333336,credit-g,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8283849816672274,oracle
452456,452456,12783656,3953,False,7,7,54,3.6e-05,0.775,0.492737,90,GELU(approximate=False),453,0.692857,0.24787,0.775,0.452061,0.766667,0.426614,0.83,0.591517,False,0.054762000000000054,credit-g,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7192082579531418,oracle
455261,455261,12786461,210,False,2,2,11,5.2e-05,0.765,0.528529,89,Identity(),10,0.734286,0.31909,0.765,0.397299,0.765556,0.402299,0.81,0.52915,False,0.02084666666666668,credit-g,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8536089421395815,oracle
460122,460122,12791322,4249,False,2,2,50,3.7e-05,0.735,0.551932,98,Sigmoid(),549,0.738571,0.283854,0.735,0.27406,0.75,0.328008,0.81,0.537019,False,0.010000000000000009,credit-g,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7405871141721023,oracle
469290,469290,12800490,1361,False,5,5,62,3e-05,0.8,0.469083,89,ReLU(),161,0.707143,0.240467,0.8,0.489501,0.762222,0.381885,0.83,0.579545,False,0.06190466666666672,credit-g,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6833019962044736,oracle
